iter	Passed	Remaining
0	1	119
1	2	115
2	3	114
3	4	106
4	5	108
5	6	107
6	8	106
7	9	105
8	10	104
9	11	104
10	12	103
11	13	101
12	15	100
13	16	99
14	17	98
15	18	97
16	19	96
17	20	94
18	22	93
19	23	92
20	24	91
21	25	90
22	26	89
23	27	88
24	28	86
25	30	85
26	31	84
27	32	83
28	33	82
29	34	81
30	35	79
31	37	78
32	38	77
33	39	76
34	40	75
35	41	74
36	42	73
37	44	72
38	45	71
39	46	70
40	47	69
41	48	66
42	49	65
43	50	64
44	51	63
45	53	62
46	54	61
47	55	60
48	56	59
49	57	57
50	59	56
51	60	55
52	61	54
53	62	53
54	63	52
55	64	50
56	66	49
57	67	48
58	68	47
59	69	46
60	70	45
61	71	44
62	73	42
63	74	41
64	75	40
65	76	39
66	77	38
67	78	37
68	80	36
69	81	34
70	82	33
71	83	32
72	84	31
73	86	30
74	87	29
75	88	27
76	89	26
77	90	25
78	92	24
79	93	23
80	94	22
81	95	21
82	97	19
83	98	18
84	99	17
85	101	16
86	102	15
87	103	14
88	104	12
89	105	11
90	106	10
91	107	9
92	109	8
93	110	7
94	111	5
95	112	4
96	113	3
97	114	2
98	115	1
99	117	0
