iter	Passed	Remaining
0	137	137419
1	138	69300
2	140	46604
3	141	35176
4	142	28327
5	143	23755
6	144	20520
7	145	18085
8	147	16197
9	148	14695
10	149	13469
11	151	12444
12	152	11585
13	153	10829
14	154	10172
15	156	9610
16	157	9109
17	158	8662
18	159	8256
19	161	7891
20	162	7568
21	163	7271
22	164	6996
23	165	6743
24	166	6505
25	168	6294
26	169	6102
27	170	5919
28	171	5750
29	172	5589
30	174	5441
31	175	5300
32	176	5170
33	177	5049
34	178	4934
35	180	4834
36	181	4731
37	183	4633
38	184	4535
39	185	4446
40	186	4364
41	187	4281
42	188	4205
43	190	4142
44	192	4074
45	193	4010
46	194	3944
47	195	3884
48	197	3823
49	198	3769
50	199	3714
51	200	3659
52	201	3606
53	203	3556
54	204	3513
55	205	3465
56	206	3419
57	207	3374
58	209	3337
59	210	3300
60	211	3260
61	212	3221
62	214	3184
63	215	3150
64	216	3117
65	217	3084
66	219	3050
67	220	3018
68	221	2988
69	223	2965
70	224	2936
71	225	2906
72	226	2879
73	228	2854
74	229	2830
75	230	2806
76	232	2781
77	233	2757
78	234	2738
79	236	2717
80	237	2694
81	238	2672
82	239	2644
83	241	2629
84	242	2610
85	243	2588
86	244	2569
87	247	2560
88	248	2540
89	249	2527
90	251	2509
91	252	2493
92	253	2474
93	254	2457
94	256	2439
95	257	2422
96	258	2405
97	259	2390
98	261	2376
99	262	2361
100	264	2352
101	265	2340
102	267	2328
103	268	2314
104	269	2300
105	271	2287
106	272	2274
107	273	2260
108	274	2247
109	276	2235
110	277	2224
111	279	2216
112	280	2204
113	282	2192
114	283	2180
115	284	2169
116	285	2156
117	287	2145
118	288	2134
119	289	2123
120	290	2113
121	292	2101
122	293	2094
123	295	2084
124	297	2080
125	298	2069
126	299	2057
127	300	2047
128	301	2037
129	303	2028
130	304	2019
131	305	2009
132	306	1999
133	308	1991
134	309	1982
135	310	1973
136	311	1964
137	313	1956
138	314	1948
139	315	1939
140	317	1932
141	317	1921
142	319	1912
143	320	1905
144	322	1899
145	323	1891
146	324	1884
147	326	1877
148	327	1870
149	328	1863
150	330	1856
151	331	1849
152	332	1842
153	335	1841
154	336	1834
155	337	1828
156	339	1823
157	341	1819
158	342	1812
159	344	1807
160	345	1797
161	346	1792
162	347	1785
163	349	1779
164	350	1773
165	352	1770
166	353	1764
167	355	1761
168	357	1755
169	358	1749
170	359	1743
171	361	1738
172	362	1732
173	364	1728
174	365	1722
175	366	1718
176	368	1712
177	369	1707
178	370	1701
179	372	1696
180	373	1691
181	375	1687
182	376	1682
183	378	1677
184	379	1672
185	380	1666
186	382	1662
187	383	1658
188	385	1653
189	386	1648
190	388	1644
191	389	1640
192	391	1636
193	395	1642
194	396	1638
195	398	1633
196	399	1629
197	401	1626
198	403	1622
199	404	1617
200	406	1614
201	407	1610
202	409	1608
203	411	1604
204	413	1603
205	414	1598
206	416	1595
207	417	1591
208	419	1587
209	421	1584
210	422	1580
211	424	1578
212	426	1575
213	428	1572
214	429	1567
215	430	1563
216	432	1560
217	434	1556
218	435	1553
219	437	1550
220	438	1546
221	440	1542
222	441	1538
223	443	1535
224	444	1531
225	445	1527
226	447	1524
227	449	1522
228	451	1518
229	452	1514
230	454	1511
231	455	1509
232	457	1505
233	458	1501
234	460	1499
235	462	1498
236	464	1495
237	465	1491
